Time,Year,Hare,Lynx
0,1845,19.58,30.09
1,1846,19.6,45.15
2,1847,19.61,49.15
3,1848,11.99,39.52
4,1849,28.04,21.23
5,1850,58.0,8.42
6,1851,74.6,5.56
7,1852,75.09,5.08
8,1853,88.48,10.17
9,1854,61.28,19.6
10,1855,74.67,32.91
11,1856,88.06,34.38
12,1857,68.51,29.59
13,1858,32.19,21.3
14,1859,12.64,13.69
15,1860,21.49,7.65
16,1861,30.35,4.08
17,1862,2.18,4.09
18,1863,152.65,14.33
19,1864,148.36,38.22
20,1865,85.81,60.78
21,1866,41.41,70.77
22,1867,14.75,72.77
23,1868,2.28,42.68
24,1869,5.91,16.39
25,1870,9.95,9.83
26,1871,10.44,5.8
27,1872,70.64,5.26
28,1873,50.12,18.91
29,1874,50.13,30.95
30,1875,101.25,31.18
31,1876,97.12,46.34
32,1877,86.51,45.77
33,1878,72.17,44.15
34,1879,38.32,36.33
35,1880,10.11,12.03
36,1881,7.74,12.6
37,1882,9.67,18.34
38,1883,43.12,35.14
39,1884,52.21,43.77
40,1885,134.85,65.69
41,1886,134.86,79.35
42,1887,103.79,51.65
43,1888,46.1,32.59
44,1889,15.03,22.45
45,1890,24.2,16.16
46,1891,41.65,14.12
47,1892,52.34,20.38
48,1893,53.78,33.33
49,1894,70.4,46.0
50,1895,85.81,51.41
51,1896,56.69,46.43
52,1897,16.59,33.68
53,1898,6.16,18.01
54,1899,2.3,8.86
55,1900,12.82,7.13
56,1901,4.72,9.47
57,1902,4.73,14.86
58,1903,37.22,31.47
59,1904,69.72,60.57
60,1905,57.78,63.51
61,1906,28.68,54.7
62,1907,23.37,6.3
63,1908,21.54,3.41
64,1909,26.34,5.44
65,1910,53.1,11.65
66,1911,68.48,20.35
67,1912,75.58,32.88
68,1913,57.92,39.55
69,1914,40.97,43.36
70,1915,24.95,40.83
71,1916,12.59,30.36
72,1917,4.97,17.18
73,1918,4.5,6.82
74,1919,11.21,3.19
75,1920,56.6,3.52
76,1921,69.63,9.94
77,1922,77.74,20.3
78,1923,80.53,31.99
79,1924,73.38,42.36
80,1925,36.93,49.08
81,1926,4.64,53.99
82,1927,2.54,52.25
83,1928,1.8,37.7
84,1929,2.39,19.14
85,1930,4.23,6.98
86,1931,19.52,8.31
87,1932,82.11,16.01
88,1933,89.76,24.82
89,1934,81.66,29.7
90,1935,15.76,35.4
