Time,Prey,Predator
1845.000000,70000.000000,2600.000000
1845.250000,61162.274120,2666.751870
1845.500000,53234.816703,2667.675558
1845.750000,46488.972204,2610.970637
1846.000000,40975.261780,2509.375976
1846.250000,36610.938740,2376.678615
1846.500000,33254.603328,2225.415466
1846.750000,30754.401311,2065.806438
1847.000000,28972.924428,1905.547061
1847.250000,27796.829880,1750.058880
1847.500000,27138.213738,1602.914145
1847.750000,26932.315682,1466.277029
1848.000000,27134.053144,1341.291105
1848.250000,27714.554207,1228.392130
1848.500000,28658.129204,1127.548541
1848.750000,29959.762323,1038.441109
1849.000000,31623.045063,960.595055
1849.250000,33658.408939,893.476932
1849.500000,36081.488612,836.566614
1849.750000,38911.429479,789.412853
1850.000000,42168.930963,751.679260
1850.250000,45873.780771,723.186482
1850.500000,50041.582763,703.955612
1850.750000,54679.312251,694.257372
1851.000000,59779.255230,694.671134
1851.250000,65310.825594,706.156750
1851.500000,71209.762360,730.139410
1851.750000,77364.404614,768.601311
1852.000000,83599.348253,824.160142
1852.250000,89658.177456,900.087988
1852.500000,95189.629259,1000.179487
1852.750000,99745.818703,1128.316342
1853.000000,102806.280671,1287.522784
1853.250000,103844.020814,1478.344989
1853.500000,102441.772866,1696.661793
1853.750000,98439.838972,1931.644465
1854.000000,92056.093022,2165.281594
1854.250000,83897.270031,2374.861565
1854.500000,74821.871704,2538.324061
1854.750000,65709.328380,2640.192492
1855.000000,57253.837060,2675.044180
1855.250000,49870.360512,2647.153660
1855.500000,43714.727787,2567.366695
1855.750000,38763.314252,2449.292388
1856.000000,34897.728609,2306.327556
1856.250000,31967.190285,2149.976571
1856.500000,29824.743653,1989.247613
1856.750000,28343.875410,1830.707208
1857.000000,27423.481162,1678.840503
1857.250000,26987.067455,1536.497100
1857.500000,26979.686381,1405.311682
1857.750000,27364.379327,1286.056670
1858.000000,28118.892114,1178.919516
1858.250000,29232.896865,1083.712608
1858.500000,30705.708955,1000.028661
1858.750000,32544.382718,927.354656
1859.000000,34762.028309,865.155698
1859.250000,37376.172747,812.938250
1859.500000,40406.969608,770.300346
1859.750000,43875.033429,736.975103
1860.000000,47798.631207,712.872887
1860.250000,52189.902686,698.126928
1860.500000,57049.706571,693.146722
1860.750000,62360.615248,698.682888
1861.000000,68077.541751,715.905448
1861.250000,74115.560114,746.493314
1861.500000,80334.835150,792.723433
1861.750000,86523.500216,857.528971
1862.000000,92381.254651,944.461356
1862.250000,97509.874923,1057.437050
1862.500000,101421.728126,1200.086651
1862.750000,103581.916045,1374.500091
1863.000000,103498.342163,1579.292254
1863.250000,100857.726787,1807.347524
1863.500000,95669.954502,2044.320193
1863.750000,88345.683155,2269.448167
1864.000000,79636.704794,2459.552353
1864.250000,70441.632835,2595.054838
1864.500000,61571.670939,2665.064395
1864.750000,53591.958295,2669.033432
1865.000000,46786.478378,2614.842568
1865.250000,41214.430132,2515.098782
1865.500000,36797.600950,2383.601863
1865.750000,33396.106328,2232.982165
1866.000000,30857.871544,2073.581392
1866.250000,29044.480377,1913.213572
1866.500000,27841.352977,1757.400947
1866.750000,27159.393093,1609.794734
1867.000000,26932.799156,1472.617681
1867.250000,27115.620309,1347.054895
1867.500000,27678.275289,1233.570284
1867.750000,28604.499136,1132.150324
1868.000000,29888.810717,1042.486338
1868.250000,31534.427819,964.108618
1868.500000,33551.489136,896.484747
1868.750000,35955.415219,839.092595
1869.000000,38765.223310,791.476487
1869.250000,42001.588651,753.293517
1869.500000,45684.409657,724.355788
1869.750000,49829.582532,704.673649
1870.000000,54444.622771,694.504508
1870.250000,59522.693736,694.411289
1870.500000,65034.538400,705.333613
1870.750000,70917.812876,728.672084
1871.000000,77063.502915,766.379947
1871.250000,83299.683814,821.042987
1871.500000,89374.224377,895.902958
1871.750000,94940.628020,994.735999
1872.000000,99555.398215,1121.436259
1872.250000,102700.451997,1279.100740
1872.500000,103846.813257,1468.442359
1872.750000,102568.543615,1685.617569
1873.000000,98690.018805,1920.150321
1873.250000,92408.997291,2154.342407
1873.500000,84314.384755,2365.593900
1873.750000,75255.271951,2531.645591
1874.000000,66111.052774,2636.544571
1874.250000,57579.829347,2674.265748
1874.500000,50075.967786,2648.505738
1874.750000,43742.975768,2569.614043
1875.000000,38529.211351,2450.750546
1875.250000,34272.122105,2304.844774
1875.500000,30763.828168,2142.880645
1875.750000,27794.595272,1973.318902
1876.000000,25180.602916,1802.239742
1876.250000,22782.246735,1633.829105
1876.500000,20515.407129,1470.947327
1876.750000,18354.927548,1315.622529
1877.000000,16328.802910,1169.390054
1877.250000,14503.264568,1033.461773
1877.500000,12961.803009,908.758237
1877.750000,11783.452869,795.866497
1878.000000,11026.042084,694.990168
1878.250000,10718.294550,605.938407
1878.500000,10861.517654,528.169390
1878.750000,11438.551776,460.876971
1879.000000,12425.957720,403.095922
1879.250000,13805.506834,353.801791
1879.500000,15572.461925,311.990233
1879.750000,17739.966612,276.730853
1880.000000,20340.269546,247.198207
1880.250000,23424.128298,222.686254
1880.500000,27059.657621,202.613262
1880.750000,31331.434197,186.523381
1881.000000,36340.157248,174.089972
1881.250000,42202.758345,165.125361
1881.500000,49052.567503,159.602352
1881.750000,57038.888332,157.695260
1882.000000,66324.968934,159.853514
1882.250000,77082.675721,166.931116
1882.500000,89480.858749,180.415091
1882.750000,103661.836903,202.834542
1883.000000,119695.471396,238.506869
1883.250000,137490.820377,294.920511
1883.500000,156628.248208,385.303722
1883.750000,176049.232222,533.252897
1884.000000,193528.082501,780.157983
1884.250000,204968.836148,1192.985349
1884.500000,204194.273139,1856.498475
1884.750000,185294.841845,2808.621466
1885.000000,149013.595110,3908.903538
1885.250000,106341.333425,4821.384795
1885.500000,70052.948681,5276.000492
1885.750000,45024.001535,5269.889516
1886.000000,29518.257626,4960.192124
1886.250000,20250.121754,4503.511700
1886.500000,14690.387584,4001.832117
1886.750000,11288.611283,3510.042630
1887.000000,9162.740176,3054.013547
1887.250000,7818.129704,2643.811626
1887.500000,6974.425871,2281.398259
1887.750000,6469.785254,1964.785403
1888.000000,6209.328904,1690.220507
1888.250000,6137.298812,1453.321387
1888.500000,6221.774995,1249.656059
1888.750000,6446.130318,1075.027865
1889.000000,6804.185948,925.603225
1889.250000,7297.462469,797.955466
1889.500000,7933.662128,689.064562
1889.750000,8725.907133,596.294684
1890.000000,9692.468476,517.361702
1890.250000,10856.835230,450.297365
1890.500000,12248.039538,393.413839
1890.750000,13901.189999,345.270582
1891.000000,15858.187688,304.644574
1891.250000,18168.610537,270.504421
1891.500000,20890.755926,241.988613
1891.750000,24092.828629,218.388216
1892.000000,27854.250115,199.134422
1892.250000,32267.041807,183.791722
1892.500000,37437.191595,172.058142
1892.750000,43485.835628,163.775071
1893.000000,50549.950409,158.951175
1893.250000,58782.005483,157.808358
1893.500000,68347.583303,160.864088
1893.750000,79419.153867,169.076255
1894.000000,92162.651263,184.099420
1894.250000,106710.554996,208.745326
1894.500000,123109.513120,247.825995
1894.750000,141219.805781,309.719054
1895.000000,160524.971495,409.268312
1895.250000,179783.654772,572.939449
1895.500000,196453.916546,846.727458
1895.750000,206000.025504,1302.826168
1896.000000,201979.177221,2024.495481
