Time,Prey,Predator
1845.000000,70000.000000,2600.000000
1845.250000,61162.274120,2666.751870
1845.500000,53234.816703,2667.675558
1845.750000,46488.972204,2610.970637
1846.000000,40975.261780,2509.375976
1846.250000,36610.938740,2376.678615
1846.500000,33254.603328,2225.415466
1846.750000,30754.401311,2065.806438
1847.000000,28972.924428,1905.547061
1847.250000,27796.829880,1750.058880
1847.500000,27138.213738,1602.914145
1847.750000,26932.315682,1466.277029
1848.000000,27134.053144,1341.291105
1848.250000,27714.554207,1228.392130
1848.500000,28658.129204,1127.548541
1848.750000,29959.762323,1038.441109
1849.000000,31623.045063,960.595055
1849.250000,33658.408939,893.476932
1849.500000,36081.488612,836.566614
1849.750000,38911.429479,789.412853
1850.000000,42168.930963,751.679260
1850.250000,45873.780771,723.186482
1850.500000,50041.582763,703.955612
1850.750000,54679.312251,694.257372
1851.000000,59779.255230,694.671134
1851.250000,65310.825594,706.156750
1851.500000,71209.762360,730.139410
1851.750000,77364.404614,768.601311
1852.000000,83599.348253,824.160142
1852.250000,89658.177456,900.087988
1852.500000,95189.629259,1000.179487
1852.750000,99745.818703,1128.316342
1853.000000,102806.280671,1287.522784
1853.250000,103844.020814,1478.344989
1853.500000,102441.772866,1696.661793
1853.750000,98439.838972,1931.644465
1854.000000,92056.093022,2165.281594
1854.250000,83897.270031,2374.861565
1854.500000,74821.871704,2538.324061
1854.750000,65709.328380,2640.192492
1855.000000,57253.837060,2675.044180
1855.250000,49870.360512,2647.153660
1855.500000,43714.727787,2567.366695
1855.750000,38763.314252,2449.292388
1856.000000,34897.728609,2306.327556
1856.250000,31967.190285,2149.976571
1856.500000,29824.743653,1989.247613
1856.750000,28343.875410,1830.707208
1857.000000,27423.481162,1678.840503
1857.250000,26987.067455,1536.497100
1857.500000,26979.686381,1405.311682
1857.750000,27364.379327,1286.056670
1858.000000,28118.892114,1178.919516
1858.250000,29232.896865,1083.712608
1858.500000,30705.708955,1000.028661
1858.750000,32544.382718,927.354656
1859.000000,34762.028309,865.155698
1859.250000,37376.172747,812.938250
1859.500000,40406.969608,770.300346
1859.750000,43875.033429,736.975103
1860.000000,47798.631207,712.872887
1860.250000,52189.902686,698.126928
1860.500000,57049.706571,693.146722
1860.750000,62360.615248,698.682888
1861.000000,68077.541751,715.905448
1861.250000,74115.560114,746.493314
1861.500000,80334.835150,792.723433
1861.750000,86523.500216,857.528971
1862.000000,92381.254651,944.461356
1862.250000,97509.874923,1057.437050
1862.500000,101421.728126,1200.086651
1862.750000,103581.916045,1374.500091
1863.000000,103498.342163,1579.292254
1863.250000,100857.726787,1807.347524
1863.500000,95669.954502,2044.320193
1863.750000,88345.683155,2269.448167
1864.000000,79636.704794,2459.552353
1864.250000,70441.632835,2595.054838
1864.500000,61571.670939,2665.064395
1864.750000,53591.958295,2669.033432
1865.000000,46786.478378,2614.842568
1865.250000,41214.430132,2515.098782
1865.500000,36797.600950,2383.601863
1865.750000,33396.106328,2232.982165
1866.000000,30857.871544,2073.581392
1866.250000,29044.480377,1913.213572
1866.500000,27841.352977,1757.400947
1866.750000,27159.393093,1609.794734
1867.000000,26932.799156,1472.617681
1867.250000,27115.620309,1347.054895
1867.500000,27678.275289,1233.570284
1867.750000,28604.499136,1132.150324
1868.000000,29888.810717,1042.486338
1868.250000,31534.427819,964.108618
1868.500000,33551.489136,896.484747
1868.750000,35955.415219,839.092595
1869.000000,38765.223310,791.476487
1869.250000,42001.588651,753.293517
1869.500000,45684.409657,724.355788
1869.750000,49829.582532,704.673649
1870.000000,54444.622771,694.504508
1870.250000,59522.693736,694.411289
1870.500000,65034.538401,705.333613
1870.750000,70917.812882,728.672084
1871.000000,77063.502940,766.379947
1871.250000,83299.683931,821.042987
1871.500000,89374.224872,895.902959
1871.750000,94940.629987,994.736003
1872.000000,99555.405544,1121.436277
1872.250000,102700.477594,1279.100817
1872.500000,103846.897021,1468.442662
1872.750000,102568.800427,1685.618693
1873.000000,98690.757048,1920.154212
1873.250000,92410.990695,2154.354891
1873.500000,84319.454585,2365.630857
1873.750000,75267.455402,2531.746385
1874.000000,66138.796678,2636.798184
1874.250000,57639.815475,2674.856447
1874.500000,50199.238286,2649.784912
1874.750000,43983.808830,2572.201395
1875.000000,38976.513280,2455.659674
1875.250000,35061.887502,2313.615394
1875.500000,32089.695656,2157.685065
1875.750000,29912.294585,1996.999774
1876.000000,28402.005465,1838.237028
1876.250000,27456.487318,1685.972350
1876.500000,26998.120257,1543.124226
1876.750000,26970.998205,1411.377317
1877.000000,27337.373106,1291.538749
1877.250000,28074.348781,1183.818933
1877.500000,29171.077378,1088.044437
1877.750000,30626.454607,1003.815704
1878.000000,32447.200585,930.622709
1878.250000,34646.169952,867.930046
1878.500000,37240.715086,815.240963
1878.750000,40250.907946,772.148053
1879.000000,43697.398313,738.376962
1879.250000,47598.643298,713.828504
1879.500000,51967.183124,698.624006
1879.750000,56804.564103,693.158246
1880.000000,62094.434587,698.163687
1880.250000,67793.297752,714.788110
1880.500000,73818.473990,744.683721
1880.750000,80033.161754,790.096807
1881.000000,86229.371818,853.928551
1881.250000,92111.382387,939.703946
1881.500000,97285.705678,1051.332658
1881.750000,101268.400116,1192.482232
1882.000000,103525.209396,1365.356216
1882.250000,103559.150448,1568.789304
1882.500000,101044.824605,1795.988911
1882.750000,95973.864921,2032.964170
1883.000000,88737.692020,2259.196144
1883.250000,80075.250743,2451.490859
1883.500000,70883.611761,2589.960065
1883.750000,61982.772089,2663.223018
1884.000000,53951.509503,2670.253341
1884.250000,47086.577401,2618.603998
1884.500000,41456.055464,2520.741790
1884.750000,36986.439528,2390.473726
1885.000000,33539.473394,2240.520970
1885.250000,30962.920763,2081.346418
1885.500000,29117.380905,1920.883075
1885.750000,27887.041211,1764.754783
1886.000000,27181.608802,1616.692690
1886.250000,26934.233713,1478.978972
1886.500000,27098.089516,1352.840964
1886.750000,27642.879211,1238.771263
1887.000000,28551.757261,1136.774787
1887.250000,29818.772861,1046.553711
1887.500000,31446.766365,967.643619
1887.750000,33445.580170,899.513297
1888.000000,35830.417057,841.638735
1888.250000,38620.161781,793.559948
1888.500000,41835.459820,754.927616
1888.750000,45496.312754,725.545405
1889.000000,49618.898727,705.413047
1889.250000,54211.259063,694.774782
1889.500000,59267.414912,694.177273
1889.750000,64759.412190,704.540123
1890.000000,70626.790466,727.239600
1890.250000,76763.141327,764.200215
1890.500000,82999.974890,817.975957
1890.750000,89089.405916,891.778031
1891.000000,94689.691930,989.363171
1891.250000,99361.774462,1114.635891
1891.500000,102590.114085,1270.762254
1891.750000,103844.076885,1458.616805
1892.000000,102689.565906,1674.629057
1892.250000,98935.738677,1908.676275
1892.500000,92761.242420,2143.386245
1892.750000,84738.952689,2356.303391
1893.000000,75712.430181,2525.031363
1893.250000,66569.338442,2633.249420
1893.500000,58027.908005,2674.520521
1893.750000,50530.662692,2652.290517
1894.000000,44255.442917,2576.940308
1894.250000,39192.042782,2461.961249
1894.500000,35228.071175,2320.863744
1894.750000,32213.922087,2165.374902
1895.000000,30001.304487,2004.748728
1895.250000,28461.386660,1845.774457
1895.500000,27490.590267,1693.118947
